@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
100.0,6.86,3.0,0.92,0.54,0.08,SIM
100.0,-0.02,3.0,4.7,4.71,0.01,SIM
150.0,-1.9,3.0,5.17,5.17,-0.09,SIM
150.0,2.41,3.0,5.54,-0.84,0.01,NAO
150.0,-7.99,3.0,5.85,0.06,-0.04,SIM
550.0,-7.98,3.0,3.97,4.33,-0.0,NAO
650.0,-7.83,0.5,3.96,4.32,0.0,NAO
300.0,-6.16,3.0,4.11,4.37,-0.02,NAO
450.0,-7.37,3.0,4.01,4.34,-0.0,NAO
150.0,5.99,3.0,5.21,4.85,-0.09,NAO
200.0,-2.38,3.0,4.27,4.32,-0.06,NAO
450.0,5.57,3.0,5.2,4.85,-0.1,SIM
300.0,3.25,3.0,5.04,4.79,-0.1,NAO
500.0,-3.99,3.0,5.59,-1.16,-0.65,NAO
500.0,-0.0,3.0,4.94,4.93,-0.01,NAO
150.0,-1.73,3.0,1.35,1.33,-0.1,NAO
200.0,-1.92,3.0,0.15,0.26,0.02,SIM
200.0,-0.29,3.0,1.26,1.26,-0.01,NAO
100.0,0.0,3.0,0.78,0.97,0.19,NAO
450.0,2.12,3.0,1.24,1.17,0.03,SIM
250.0,0.0,3.0,1.26,1.24,-0.02,NAO
100.0,1.99,0.5,2.9,2.93,0.16,SIM
100.0,7.63,0.5,4.87,4.51,0.15,NAO
100.0,-3.86,0.5,2.25,2.47,-0.04,SIM
150.0,1.21,0.5,1.93,1.87,0.02,SIM
100.0,-0.79,0.5,1.74,1.86,0.07,SIM
100.0,7.86,0.5,5.07,4.26,-0.29,NAO
150.0,1.84,3.0,4.48,4.4,0.0,NAO
400.0,2.38,3.0,4.49,4.41,0.03,NAO
650.0,-7.15,3.0,2.96,4.54,1.26,NAO
50.0,7.87,3.0,4.27,4.03,0.28,SIM
600.0,3.42,3.0,4.41,4.27,0.02,NAO
800.0,-0.0,3.0,4.42,4.4,-0.02,NAO
150.0,-0.89,3.0,5.87,-0.37,-0.02,SIM
100.0,0.58,3.0,6.13,0.09,0.28,NAO
650.0,2.49,3.0,4.26,4.32,0.17,NAO
150.0,5.52,3.0,6.19,-0.32,0.02,SIM
200.0,1.52,3.0,2.71,2.56,-0.08,NAO
150.0,-0.38,3.0,1.67,1.63,-0.06,NAO
100.0,2.9,3.0,0.43,0.33,0.09,SIM
100.0,0.46,3.0,1.87,1.99,0.15,NAO
150.0,-2.23,0.5,5.06,-1.12,-0.05,NAO
150.0,7.8,3.0,5.66,5.18,0.04,NAO
300.0,-5.76,3.0,0.7,0.95,-0.01,NAO
350.0,-4.87,3.0,1.2,1.36,-0.06,NAO
400.0,8.0,3.0,1.92,1.56,0.0,NAO
100.0,7.4,3.0,1.65,1.32,0.16,NAO
150.0,-0.0,3.0,0.96,0.97,0.01,SIM
200.0,-5.09,3.0,0.64,0.86,-0.01,SIM
250.0,-0.0,3.0,0.88,0.89,0.01,NAO
350.0,-0.05,3.0,1.19,4.42,-3.06,SIM
150.0,-7.69,3.0,1.5,1.95,-0.06,NAO
200.0,5.13,3.0,2.71,2.54,0.06,NAO
150.0,6.39,3.0,2.87,2.59,0.01,NAO
250.0,-3.13,3.0,4.36,4.57,0.07,NAO
150.0,6.55,3.0,5.78,5.36,0.02,NAO
150.0,6.57,3.0,6.09,-0.47,0.02,NAO
200.0,-3.24,3.0,5.1,-1.09,-0.05,NAO
150.0,-6.79,3.0,4.83,5.06,-0.08,SIM
350.0,-0.0,3.0,4.99,2.32,-2.67,NAO
250.0,-6.35,3.0,2.1,2.39,0.0,NAO
100.0,-6.77,3.0,1.68,2.07,-0.06,SIM
100.0,-4.41,3.0,2.14,2.48,0.05,SIM
150.0,-4.92,3.0,3.11,3.46,0.02,NAO
200.0,0.5,3.0,2.98,2.95,-0.01,NAO
500.0,-1.32,3.0,4.25,4.3,-0.01,SIM
500.0,0.68,3.0,4.31,4.3,0.02,NAO
400.0,-2.11,3.0,4.22,4.3,-0.02,NAO
200.0,-0.79,3.0,4.2,4.3,0.06,SIM
150.0,0.62,3.0,4.31,4.25,-0.02,SIM
200.0,8.0,3.0,2.15,1.83,0.04,NAO
150.0,-4.37,3.0,5.13,5.29,-0.04,NAO
150.0,0.01,3.0,4.68,4.68,0.0,SIM
150.0,0.09,3.0,4.71,4.7,-0.01,SIM
100.0,3.96,3.0,4.76,4.68,0.18,SIM
150.0,0.96,3.0,4.56,4.56,0.06,SIM
350.0,-6.84,3.0,2.94,3.21,-0.04,NAO
450.0,-0.0,3.0,5.17,3.12,-2.05,NAO
100.0,-6.94,3.0,2.57,2.96,-0.07,NAO
250.0,-7.44,3.0,2.81,3.14,-0.01,NAO
250.0,-1.25,3.0,1.69,1.71,-0.04,NAO
150.0,-5.67,3.0,2.21,2.51,0.04,NAO
150.0,-0.51,3.0,1.0,1.2,0.17,SIM
250.0,4.98,3.0,1.45,1.33,0.11,SIM
200.0,-4.41,3.0,2.14,2.36,0.02,NAO
50.0,-1.1,3.0,2.3,2.43,0.06,NAO
150.0,-3.91,3.0,4.49,4.64,-0.11,NAO
150.0,-6.31,3.0,3.51,3.75,-0.05,NAO
150.0,7.87,3.0,5.06,4.56,0.02,NAO
150.0,7.39,3.0,5.13,4.79,-0.0,SIM
200.0,4.99,3.0,4.34,4.1,-0.01,NAO
150.0,7.79,3.0,4.49,4.15,0.01,NAO
150.0,4.49,3.0,2.22,2.0,-0.02,SIM
100.0,7.97,3.0,3.29,2.96,0.2,NAO
350.0,-5.94,3.0,1.04,1.39,0.08,NAO
200.0,7.89,3.0,2.19,1.88,0.05,NAO
550.0,-5.94,3.0,1.37,1.59,-0.05,NAO
450.0,-2.48,3.0,1.51,1.57,-0.05,NAO
650.0,5.01,3.0,1.77,1.59,0.05,NAO
600.0,1.74,3.0,1.66,1.62,0.04,NAO
550.0,-6.17,3.0,3.19,7.81,-1.94,SIM
700.0,-1.47,3.0,1.37,7.81,0.09,NAO
50.0,7.98,3.0,2.2,1.67,0.0,SIM
150.0,0.34,0.5,2.5,2.49,0.01,NAO
50.0,4.76,3.0,1.35,1.2,0.17,SIM
100.0,-1.16,3.0,6.01,-0.42,-0.22,SIM
150.0,7.91,3.0,0.02,-0.32,0.02,SIM
150.0,0.91,3.0,6.25,-0.21,-0.12,SIM
200.0,7.66,3.0,0.03,-0.28,0.04,SIM
300.0,7.31,3.0,5.53,5.55,0.35,NAO
450.0,-6.25,3.0,5.09,5.37,-0.0,NAO
300.0,-1.1,3.0,0.16,0.18,-0.03,NAO
500.0,1.81,3.0,0.24,0.2,0.04,NAO
500.0,6.12,3.0,0.04,0.07,0.31,NAO
600.0,2.2,3.0,0.92,0.75,-0.07,NAO
500.0,-4.74,3.0,0.37,0.66,0.07,NAO
450.0,0.76,3.0,0.71,0.71,0.03,NAO
250.0,7.73,3.0,5.21,0.26,1.68,NAO
350.0,1.43,3.0,6.09,-0.31,-0.05,NAO
150.0,-2.57,0.5,2.45,2.56,-0.01,NAO
250.0,1.0,3.0,5.73,-0.6,-0.0,NAO
300.0,-6.51,3.0,4.75,-1.3,-0.06,SIM
250.0,-3.31,3.0,4.78,4.46,-0.47,NAO
150.0,-1.16,3.0,4.12,4.16,-0.01,NAO
150.0,7.83,3.0,0.71,0.39,0.04,NAO
150.0,3.84,3.0,0.87,0.66,-0.04,SIM
150.0,5.08,3.0,0.83,0.61,0.01,NAO
150.0,-7.14,3.0,6.01,0.12,0.07,NAO
150.0,-0.0,0.5,4.45,4.36,-0.09,NAO
200.0,-1.34,3.0,3.91,3.92,-0.05,NAO
250.0,-4.42,3.0,3.06,3.21,-0.05,SIM
150.0,-0.67,0.5,2.9,2.89,-0.04,NAO
150.0,-5.47,3.0,3.85,4.08,-0.02,NAO
150.0,-5.99,3.0,3.77,4.02,-0.02,NAO
150.0,-0.26,3.0,4.18,4.19,-0.01,NAO
150.0,6.97,3.0,4.69,4.37,-0.0,SIM
200.0,-3.04,3.0,4.48,4.64,0.02,NAO
